team,stadium_capacity,long_term_power,financial_power,fanbase_score,european_pedigree,academy_score,notes
Real Madrid,83186,100,100,100,100,85,Elite club with maximum domestic and European baseline
Barcelona,105000,99,96,100,98,95,Elite club with exceptional academy and squad value
Atletico Madrid,70692,92,82,86,88,72,Stable top four contender under recent long cycle
Sevilla,43883,72,61,74,82,66,Historically strong in Europe but volatile recent league form
Villarreal,23008,78,70,62,76,74,Efficient recruitment and frequent European contender
Real Sociedad,39313,76,68,70,68,82,Strong academy and recent European-quality baseline
Athletic Bilbao,53289,78,64,78,70,92,High institutional stability and elite academy identity
Real Betis,70000,75,66,78,60,70,Large fanbase and recent European-quality baseline
Valencia,49430,73,63,82,68,78,Large club with strong academy but recent instability
Celta Vigo,24870,60,47,60,38,72,Mid-table profile with academy and attacking identity
Getafe,16500,55,42,45,32,45,Low-event defensive profile with Primera experience
Rayo Vallecano,14708,54,38,48,28,50,Compact club with recent Primera consolidation
Osasuna,23576,58,45,58,34,72,Stable high-intensity mid-table profile
Mallorca,23142,55,43,50,24,50,Recent Primera survivor with defensive profile
Girona,14624,66,60,50,36,55,High recent peak but smaller long-term top-flight base
Espanyol,37776,57,45,62,34,62,Historic Primera club with volatile recent status
Alaves,19840,52,39,48,24,58,Recent lower-mid-table Primera profile
Elche,31388,45,34,45,18,48,Promotion-survival profile
Levante,26354,48,36,48,20,52,Promotion-survival profile with recent Primera history
Real Oviedo,30500,44,34,55,18,60,Historic club with long absence before 2025-26
Racing Santander,22222,43,35,56,18,58,Historic club returning after long absence
Deportivo La Coruna,32660,50,39,72,42,68,Historic champion-level past but recent lower-tier reset
Almeria,15000,49,44,45,20,48,Promotion candidate with comparatively strong squad value
Leganes,12450,45,34,42,18,50,Recent Primera/Segunda yo-yo profile
Las Palmas,32392,50,39,58,24,62,Strong island fanbase and academy tradition
Valladolid,27618,49,38,56,22,56,Historic top-flight club with recent volatility
Granada,19189,48,38,50,26,48,Recent European peak but volatile status
Cadiz,20724,45,34,52,18,48,Survival-oriented profile
Eibar,8164,45,32,38,20,52,Small club with strong recent top-flight cycle
Malaga,30044,47,36,62,28,62,Historic Primera club rebuilding from lower tiers
Sporting Gijon,29371,48,37,64,24,66,Historic club with large second-tier baseline
Huesca,9100,39,30,34,14,42,Small club with intermittent Primera appearances
